"White-browed Coucal",4131,2020-05-19 08:14:00,-3.312017,39.998288,NA,"202005_20200519_08_JDK_1036","202005_20200519_08_JDK","202005"
"House Crow",989,2020-05-19 08:16:00,-3.311985,39.999071,NA,"202005_20200519_08_JDK_989","202005_20200519_08_JDK","202005"
