Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Nest count,Nest count type,Nest site,At colony,Colony type,Colony description,ISO date
Village Weaver,Ploceus cucullatus,797,2020-07-09,06:48,Heard,-3.367472,39.911684,,1,false,Alive,28,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T06:48:22.614+0300
East Coast Boubou,Laniarius sublacteus,7867,2020-07-09,06:57,Heard,-3.367142,39.909332,,1,false,Alive,24,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T06:57:05.365+0300
Unidentified,Unidentified,0,2020-07-09,06:58,Seen,-3.367483,39.909218,"We stopped for 43minutes because of rain!!


",1,false,Alive,23,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T06:58:57.303+0300
Unidentified,Unidentified,0,2020-07-09,07:45,Seen,-3.367492,39.909237,,1,false,Alive,29,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T07:45:55.700+0300
Common Bulbul,Pycnonotus barbatus tricolor,545,2020-07-09,07:47,Heard,-3.367634,39.909216,,1,false,Alive,29,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T07:47:40.226+0300
Yellow-fronted Canary,Crithagra mozambica,859,2020-07-09,07:48,Heard,-3.367891,39.909162,,1,false,Alive,30,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T07:48:38.269+0300
Striped Kingfisher,Halcyon chelicuti,403,2020-07-09,07:51,Seen,-3.368359,39.909026,,1,false,Alive,36,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T07:51:52.266+0300
House Crow,Corvus splendens,989,2020-07-09,07:52,Heard,-3.368769,39.9089,,1,false,Alive,29,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T07:52:56.400+0300
Northern Grey-headed Sparrow (Parrot-billed),Passer griseus gongonensis,3834,2020-07-09,07:53,Heard,-3.369041,39.908861,,1,false,Alive,26,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T07:53:34.140+0300
Unidentified,Unidentified,0,2020-07-09,08:01,Seen,-3.36921,39.906625,,1,false,Alive,-17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:01:28.930+0300
Unidentified,Unidentified,0,2020-07-09,08:01,Seen,-3.369208,39.9066,,1,false,Alive,-12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:01:39.358+0300
Common Drongo,Dicrurus adsimilis,517,2020-07-09,08:01,Seen,-3.369209,39.906556,,1,false,Alive,-11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:01:57.346+0300
Village Weaver,Ploceus cucullatus,797,2020-07-09,08:02,Heard,-3.369185,39.906545,,1,false,Alive,-8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:02:10.904+0300
