Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Unidentified,Unidentified,0,2021-05-15,10:00,Seen,-3.30216,40.009868,,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-05-15,,2021-05-15T10:00:05.819+0300
Black-bellied Starling,Black-bellied Starling,740,2021-05-15,09:59,Seen,-3.302077,40.009835,,1,false,Alive,12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-05-15,,2021-05-15T09:59:44.023+0300
Collared Sunbird,Collared Sunbird,771,2021-05-15,09:58,Seen,-3.30157,40.009802,,1,false,Alive,6,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-05-15,,2021-05-15T09:58:14.862+0300
Yellow-bellied Greenbul,Yellow-bellied Greenbul,550,2021-05-15,09:57,Heard,-3.301425,40.009833,,1,false,Alive,5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-05-15,,2021-05-15T09:57:57.273+0300
Common Bulbul,Common Bulbul,11491,2021-05-15,09:56,Seen,-3.301175,40.009783,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-05-15,,2021-05-15T09:56:52.936+0300
Hadeda,Hadada Ibis,84,2021-05-15,09:48,Seen,-3.297968,40.010292,,1,false,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-05-15,,2021-05-15T09:48:13.688+0300
Collared Sunbird,Collared Sunbird,771,2021-05-15,09:36,Heard,-3.294733,40.010203,,1,false,Alive,22,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-05-15,,2021-05-15T09:36:57.751+0300
Mottled Spinetailed Swift,Mottled Spinetail,388,2021-05-15,09:32,Seen,-3.293843,40.010178,,1,false,Alive,22,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-05-15,,2021-05-15T09:32:57.456+0300
Village Weaver,Village Weaver,797,2021-05-15,09:32,Seen,-3.29381,40.010162,,1,false,Alive,23,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-05-15,,2021-05-15T09:32:22.837+0300
Lizard Buzzard,Lizard Buzzard,144,2021-05-15,09:31,Heard,-3.293627,40.01014,,1,false,Alive,25,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-05-15,,2021-05-15T09:31:12.563+0300
