Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Unidentified,Unidentified,0,2021-05-20,10:00,Seen,-3.311938,39.999245,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T10:00:05.477+0300
Red-cheeked Cordon-bleu,Red-cheeked Cordon-bleu,3974,2021-05-20,09:58,Heard,-3.31205,39.999262,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T09:58:43.853+0300
Yellow-bellied Greenbul,Yellow-bellied Greenbul,550,2021-05-20,09:58,Seen,-3.312175,39.999252,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T09:58:12.547+0300
Olive Sunbird,Olive Sunbird,766,2021-05-20,09:52,Seen,-3.313247,39.999082,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T09:52:43.254+0300
Lizard Buzzard,Lizard Buzzard,144,2021-05-20,09:51,Heard,-3.313398,39.999167,,1,false,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T09:51:48.771+0300
Black-crowned Tchagra,Black-crowned Tchagra,715,2021-05-20,09:51,Heard,-3.313387,39.99918,,1,false,Alive,12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T09:51:19.202+0300
African Pied Wagtail,African Pied Wagtail,685,2021-05-20,09:46,Seen,-3.313978,39.998953,,1,false,Alive,23,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T09:46:37.526+0300
Little Swift,Little Swift,385,2021-05-20,09:24,Seen,-3.318382,39.999627,,1,false,Alive,7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T09:24:17.318+0300
Black-bellied Starling,Black-bellied Starling,740,2021-05-20,09:23,Seen,-3.318563,39.999652,,1,false,Alive,7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T09:23:11.468+0300
Tawny-flanked Prinia,Tawny-flanked Prinia,649,2021-05-20,09:22,Heard,-3.318635,39.999683,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T09:22:50.691+0300
House Crow,House Crow,989,2021-05-20,09:21,Seen,-3.318952,39.999727,,1,false,Alive,7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T09:21:35.304+0300
White-bellied Robin Chat,White-bellied Robin-Chat,2564,2021-05-20,09:20,Heard,-3.31898,39.999733,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T09:20:45.960+0300
Lilac-breasted Roller,Lilac-breasted Roller,413,2021-05-20,09:17,Seen,-3.319462,39.99982,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T09:17:51.434+0300
Yellow-fronted Canary,Yellow-fronted Canary,859,2021-05-20,09:17,Heard,-3.319463,39.999802,,1,false,Alive,7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T09:17:32.359+0300
African Palm Swift,African Palm Swift,387,2021-05-20,09:13,Seen,-3.320353,39.999903,,1,false,Alive,7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T09:13:37.384+0300
Hadeda,Hadada Ibis,84,2021-05-20,08:41,Seen,-3.323095,39.998527,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T08:41:08.689+0300
Black Kite (resident),Yellow-billed Kite,129,2021-05-20,08:35,Seen,-3.323355,39.996673,,1,false,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T08:35:03.162+0300
Common Bulbul,Common Bulbul,11491,2021-05-20,08:32,Heard,-3.323322,39.995878,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T08:32:11.908+0300
Violet-backed Starling,Violet-backed Starling,736,2021-05-20,08:27,Seen,-3.323917,39.995473,,1,false,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T08:27:30.949+0300
Reed Cormorant,Reed Cormorant,50,2021-05-20,08:22,Seen,-3.325125,39.996408,,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T08:22:03.824+0300
Black-bellied Starling,Black-bellied Starling,740,2021-05-20,08:20,Seen,-3.325555,39.9965,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T08:20:40.498+0300
