Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Unidentified,Unidentified,0,2021-02-17,10:00,Seen,-3.349328,40.012303,,1,false,Alive,14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-02-17,,2021-02-17T10:00:06.011+0300
House Sparrow,Passer domesticus,784,2021-02-17,09:58,Seen,-3.349498,40.011348,,1,false,Alive,14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-02-17,,2021-02-17T09:58:10.124+0300
Little Swift,Apus affinis,385,2021-02-17,09:43,Seen,-3.349906,40.005885,,1,false,Alive,7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-02-17,,2021-02-17T09:43:28.632+0300
Red-cheeked Cordon-bleu,Uraeginthus bengalus,3974,2021-02-17,09:32,Seen,-3.351752,40.002738,,1,false,Alive,13,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-02-17,,2021-02-17T09:32:59.953+0300
Black-bellied Starling,Notopholia corusca,740,2021-02-17,09:32,Seen,-3.351835,40.002726,,1,false,Alive,14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-02-17,,2021-02-17T09:32:41.402+0300
White-browed Coucal,Centropus superciliosus,1036,2021-02-17,09:31,Seen,-3.352412,40.00275,,1,false,Alive,14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-02-17,,2021-02-17T09:31:21.325+0300
Tawny-flanked Prinia,Prinia subflava,649,2021-02-17,09:31,Heard,-3.35252,40.002755,,1,false,Alive,13,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-02-17,,2021-02-17T09:31:02.164+0300
Zanzibar Greenbul,Andropadus importunus,551,2021-02-17,09:26,Seen,-3.354573,40.002904,,1,false,Alive,13,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-02-17,,2021-02-17T09:26:13.578+0300
African Pied Wagtail,Motacilla aguimp,685,2021-02-17,09:25,Seen,-3.35473,40.00291,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-02-17,,2021-02-17T09:25:49.359+0300
Common Drongo,Dicrurus adsimilis,517,2021-02-17,09:25,Seen,-3.354848,40.002833,,1,false,Alive,17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-02-17,,2021-02-17T09:25:25.860+0300
