Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Unidentified,Unidentified,0,18/12/2020,10:00,Seen,-3.30691,40.014487,,1,FALSE,Alive,5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T10:00:04.853+0300
Eastern Nicator,Nicator gularis,725,18/12/2020,09:56,Heard,-3.308715,40.014195,,1,FALSE,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:56:36.024+0300
Yellow-bellied Greenbul,Chlorocichla flaviventris,550,18/12/2020,09:53,Heard,-3.310313,40.014113,,1,FALSE,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:53:25.463+0300
African Fish Eagle,Haliaeetus vocifer,149,18/12/2020,09:52,Seen,-3.310643,40.01412,,1,FALSE,Alive,-2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:52:00.644+0300
Black-headed Oriole,Oriolus larvatus,521,18/12/2020,09:51,Heard,-3.310752,40.014162,,1,FALSE,Alive,-2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:51:44.323+0300
Black-bellied Starling,Notopholia corusca,740,18/12/2020,09:47,Seen,-3.311672,40.014465,,1,FALSE,Alive,0,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:47:36.108+0300
Northern Brownbul,Phyllastrephus strepitans,3024,18/12/2020,09:45,Heard,-3.31221,40.01462,,1,FALSE,Alive,0,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:45:48.979+0300
African Bare-eyed Thrush,Turdus tephronotus,2750,18/12/2020,09:42,Heard,-3.313425,40.014953,,1,FALSE,Alive,1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:42:57.745+0300
Bearded Scrub Robin,Cercotrichas quadrivirgata,585,18/12/2020,09:42,Heard,-3.313452,40.015023,,1,FALSE,Alive,0,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:42:45.402+0300
African Paradise Flycatcher,Terpsiphone viridis,682,18/12/2020,09:42,Heard,-3.313512,40.015113,,1,FALSE,Alive,0,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:42:24.549+0300
Black-backed Puffback,Dryoscopus cubla,712,18/12/2020,09:31,Heard,-3.314333,40.016232,,1,FALSE,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:31:26.336+0300
Diederik Cuckoo,Chrysococcyx caprius,352,18/12/2020,09:30,Heard,-3.314398,40.016312,,1,FALSE,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:30:50.618+0300
Tambourine Dove,Turtur tympanistria,319,18/12/2020,09:26,Heard,-3.315327,40.017115,,1,FALSE,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:26:09.162+0300
White-browed Coucal,Centropus superciliosus,1036,18/12/2020,09:24,Seen,-3.315327,40.017517,,1,FALSE,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:24:53.999+0300
Common Drongo,Dicrurus adsimilis,517,18/12/2020,09:23,Heard,-3.315302,40.0177,,1,FALSE,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:23:53.157+0300
Eurasian Golden Oriole,Oriolus oriolus,519,18/12/2020,09:21,Heard,-3.315245,40.018435,,1,FALSE,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:21:54.668+0300
Klaas's Cuckoo,Chrysococcyx klaas,351,18/12/2020,09:20,Heard,-3.315147,40.018883,,1,FALSE,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:20:26.528+0300
Ring-necked Dove,Streptopelia capicola,316,18/12/2020,09:18,Heard,-3.315125,40.019318,,1,FALSE,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:18:51.962+0300
Lizard Buzzard,Kaupifalco monogrammicus,144,18/12/2020,09:18,Heard,-3.315043,40.019367,,1,FALSE,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:18:24.005+0300
Northern Grey-headed Sparrow (Parrot-billed),Passer griseus gongonensis,3834,18/12/2020,09:16,Seen,-3.315063,40.01995,,1,FALSE,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:16:44.758+0300
Village Weaver,Ploceus cucullatus,797,18/12/2020,09:16,Seen,-3.315042,40.020025,,1,FALSE,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:16:15.193+0300
Red-cheeked Cordon-bleu,Uraeginthus bengalus,3974,18/12/2020,09:16,Heard,-3.315033,40.02011,,1,FALSE,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:16:02.604+0300
White-throated Bee-eater,Merops albicollis,1034,18/12/2020,09:14,Seen,-3.315035,40.02029,,1,FALSE,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:14:40.246+0300
Little Swift,Apus affinis,385,18/12/2020,09:14,Seen,-3.314977,40.020268,,1,FALSE,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:14:17.677+0300
Red-fronted Tinkerbird,Pogoniulus pusillus,436,18/12/2020,09:13,Heard,-3.314992,40.02041,,1,FALSE,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:13:27.826+0300
Common Bulbul,Pycnonotus barbatus tricolor,545,18/12/2020,09:12,Heard,-3.314967,40.020523,,1,FALSE,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:12:51.984+0300
Golden Palm Weaver,Ploceus bojeri,3898,18/12/2020,09:11,Seen,-3.315002,40.020732,,1,FALSE,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:11:53.028+0300
Olive Sunbird,Cyanomitra olivacea,766,18/12/2020,09:11,Heard,-3.314993,40.020782,,1,FALSE,Alive,12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:11:36.581+0300
House Sparrow,Passer domesticus,784,18/12/2020,09:11,Seen,-3.315002,40.020887,,1,FALSE,Alive,12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:11:15.753+0300
Palm-nut Vulture,Gypohierax angolensis,112,18/12/2020,09:07,Seen,-3.31492,40.021618,,1,FALSE,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:07:28.273+0300
Black-crowned Tchagra,Tchagra senegalus,715,18/12/2020,09:05,Heard,-3.31489,40.021993,,1,FALSE,Alive,12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-17,,2020-12-18T09:05:14.404+0300
