Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Jacobin Cuckoo,Jacobin Cuckoo,348,2020-05-18,08:19,Heard,-3.26661,39.978133,,1,false,Alive,23,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:19:31.299+0300
Fischer's Greenbul,Fischer's Greenbul,2998,2020-05-18,08:19,Seen,-3.26643,39.977867,,1,false,Alive,39,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:19:00.218+0300
Violet-backed Starling,Violet-backed Starling,736,2020-05-18,08:17,Seen,-3.266074,39.977571,,1,false,Alive,27,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:17:55.631+0300
Grey-backed Camaroptera,Grey-backed Camaroptera,628,2020-05-18,08:17,Seen,-3.26584,39.977335,,1,false,Alive,30,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:17:03.715+0300
Olive Sunbird,Olive Sunbird,766,2020-05-18,08:15,Heard,-3.265458,39.976959,,1,false,Alive,26,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:15:59.239+0300
Grey-headed Kingfisher,Grey-headed Kingfisher,401,2020-05-18,08:15,Seen,-3.264612,39.976588,,1,false,Alive,23,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:15:36.327+0300
Black-backed Puffback,Black-backed Puffback,712,2020-05-18,08:12,Seen,-3.264467,39.976594,,1,false,Alive,23,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:12:24.314+0300
Tambourine Dove,Tambourine Dove,319,2020-05-18,08:09,Heard,-3.263639,39.976603,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:09:56.299+0300
Eastern Nicator,Eastern Nicator,725,2020-05-18,08:04,Seen,-3.262955,39.977044,,1,false,Alive,18,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:04:56.909+0300
Eastern Golden Weaver,Eastern Golden Weaver,800,2020-05-18,08:04,Seen,-3.262947,39.977033,,1,false,Alive,25,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:04:42.728+0300
Red-eyed Dove,Red-eyed Dove,314,2020-05-18,07:58,Seen,-3.262978,39.977486,,1,false,Alive,19,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T07:58:21.082+0300
Grey-headed Bushshrike,Grey-headed Bushshrike,723,2020-05-18,07:55,Heard,-3.262582,39.977951,,1,false,Alive,14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T07:55:37.645+0300
Jacobin Cuckoo,Jacobin Cuckoo,348,2020-05-18,07:55,Seen,-3.262519,39.977927,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T07:55:16.360+0300
African Jacana,African Jacana,228,2020-05-18,07:49,Seen,-3.261743,39.977985,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T07:49:04.228+0300
African Sacred Ibis,Sacred Ibis,81,2020-05-18,07:45,Seen,-3.261874,39.977966,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T07:45:58.685+0300
Black-headed Oriole,Black-headed Oriole,521,2020-05-18,07:44,Seen,-3.262216,39.977976,,1,false,Alive,14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T07:44:37.998+0300
Coastal Cisticola,Winding Cisticola (Coastal),3132,2020-05-18,07:44,Seen,-3.262217,39.977978,,1,false,Alive,14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T07:44:06.218+0300
Reed Cormorant,Reed Cormorant,50,2020-05-18,07:43,Seen,-3.262284,39.977966,,1,false,Alive,14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T07:43:34.067+0300
Pin-tailed Whydah,Pin-tailed Whydah,846,2020-05-18,07:42,Seen,-3.262322,39.97796,,1,false,Alive,14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T07:42:50.178+0300
Yellow-throated Longclaw,Yellow-throated Longclaw,704,2020-05-18,07:41,Seen,-3.262446,39.977926,,1,false,Alive,18,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T07:41:54.561+0300
African Pipit,Grassland Pipit,692,2020-05-18,07:41,Seen,-3.262446,39.977926,,1,false,Alive,18,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T07:41:40.642+0300
Great Egret,Great White Egret,58,2020-05-18,07:41,Seen,-3.262446,39.977926,,1,false,Alive,18,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T07:41:25.048+0300
Black-and-white Mannikin,Black-and-white Mannikin,8090,2020-05-18,07:34,Seen,-3.262994,39.978326,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T07:34:56.174+0300
Striped Kingfisher,Striped Kingfisher,403,2020-05-18,07:33,Seen,-3.26299,39.978653,,1,false,Alive,19,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T07:33:56.546+0300
Knob-billed Duck,Knob-billed Duck,91,2020-05-18,07:31,Seen,-3.262978,39.978648,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T07:31:56.089+0300
Common Waxbill,Common Waxbill,843,2020-05-18,07:31,Seen,-3.262972,39.978824,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T07:31:26.317+0300
Green Barbet,Green Barbet,435,2020-05-18,07:29,Seen,-3.262973,39.979509,,1,false,Alive,17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T07:29:52.677+0300
Village Weaver,Village Weaver,797,2020-05-18,07:26,Seen,-3.262964,39.980894,,1,false,Alive,17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T07:26:51.097+0300
Parrot-billed Sparrow,Northern Grey-headed Sparrow (Parrot-billed),3834,2020-05-18,07:26,Seen,-3.262964,39.981058,,1,false,Alive,27,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T07:26:16.622+0300
