Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Amethyst Sunbird,Chalcomitra amethystina,772,2021-03-25,07:04,Heard,-3.326066,39.957841,,1,false,Alive,,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-03-25,,2021-03-25T07:04:00.500+0300
Dodson's Bulbul,Pycnonotus barbatus dodsoni,3032,2021-03-25,07:03,Heard,-3.326066,39.957841,,1,false,Alive,,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-03-25,,2021-03-25T07:03:45.637+0300
Unidentified,Unidentified,0,2021-03-25,10:00,Seen,-3.375218,39.972552,,1,false,Alive,-14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T10:00:07.355+0300
Purple-banded Sunbird,Cinnyris bifasciatus,756,2021-03-25,09:51,Seen,-3.374946,39.972752,,1,false,Alive,-13,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T09:51:54.779+0300
Malachite Kingfisher,Corythornis cristatus,397,2021-03-25,09:47,Seen,-3.374251,39.97285,,1,false,Alive,7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T09:47:59.151+0300
Pied Kingfisher,Ceryle rudis,394,2021-03-25,09:40,Seen,-3.372778,39.973053,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T09:40:03.831+0300
Red-fronted Tinkerbird,Pogoniulus pusillus,436,2021-03-25,09:38,Heard,-3.372547,39.973058,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T09:38:16.728+0300
House Crow,Corvus splendens,989,2021-03-25,09:37,Seen,-3.372472,39.973132,,1,false,Alive,0,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T09:37:23.590+0300
Emerald-spotted Wood Dove,Turtur chalcospilos,321,2021-03-25,09:30,Heard,-3.371368,39.973274,,1,false,Alive,-3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T09:30:28.615+0300
Yellow-fronted Canary,Crithagra mozambica,859,2021-03-25,09:27,Seen,-3.370632,39.973148,,1,false,Alive,-3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T09:27:44.114+0300
