Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Unidentified,Unidentified,0,2021-04-19,10:00,Seen,-3.333202,40.012937,,1,false,Alive,5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-04-19,,2021-04-19T10:00:14.492+0300
African Palm Swift,African Palm Swift,387,2021-04-19,09:58,Seen,-3.333225,40.013458,,1,false,Alive,5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-04-19,,2021-04-19T09:58:51.745+0300
Common Bulbul,Common Bulbul,11491,2021-04-19,09:57,Seen,-3.333168,40.014342,,1,false,Alive,7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-04-19,,2021-04-19T09:57:00.411+0300
Zanzibar Greenbul,Sombre Greenbul,551,2021-04-19,09:53,Seen,-3.332993,40.015345,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-04-19,,2021-04-19T09:53:01.003+0300
Emerald-spotted Wood Dove,Emerald-spotted Wood Dove,321,2021-04-19,09:51,Seen,-3.332875,40.015872,,1,false,Alive,0,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-04-19,,2021-04-19T09:51:23.921+0300
Tawny-flanked Prinia,Tawny-flanked Prinia,649,2021-04-19,09:43,Heard,-3.33249,40.018882,,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-04-19,,2021-04-19T09:43:04.667+0300
Grey-headed Kingfisher,Grey-headed Kingfisher,401,2021-04-19,09:39,Seen,-3.332325,40.020248,,1,false,Alive,0,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-04-19,,2021-04-19T09:39:05.692+0300
Black Kite (resident),Yellow-billed Kite,129,2021-04-19,09:33,Seen,-3.332135,40.022305,,1,false,Alive,6,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-04-19,,2021-04-19T09:33:54.841+0300
Village Weaver,Village Weaver,797,2021-04-19,09:31,Seen,-3.332102,40.02301,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-04-19,,2021-04-19T09:31:19.285+0300
Northern Grey-headed Sparrow (Parrot-billed),Parrot-billed Sparrow,3834,2021-04-19,09:18,Heard,-3.331873,40.026117,,1,false,Alive,13,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-04-19,,2021-04-19T09:18:02.191+0300
