Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Great White Egret,Ardea alba,58,2020-07-11,06:13,Seen,-3.39276,39.938328,,1,false,Alive,-1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-07-09,,2020-07-11T06:13:46.856+0300
Black-crowned Tchagra,Tchagra senegalus,715,2020-07-11,06:12,Heard,-3.392928,39.938275,,1,false,Alive,-1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-07-09,,2020-07-11T06:12:45.691+0300
Common Drongo,Dicrurus adsimilis,517,2020-07-11,06:08,Heard,-3.393461,39.938157,,1,false,Alive,-2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-07-09,,2020-07-11T06:08:06.528+0300
White-browed Robin Chat,Cossypha heuglini,580,2020-07-11,06:06,Heard,-3.393719,39.93799,,1,false,Alive,-1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-07-09,,2020-07-11T06:06:08.993+0300
Hadeda,Bostrychia hagedash,84,2020-07-11,06:03,Heard,-3.394074,39.937812,,1,false,Alive,0,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-07-09,,2020-07-11T06:03:27.571+0300
Common Bulbul,Pycnonotus barbatus,11491,2020-07-11,06:02,Heard,-3.394158,39.93779,,1,false,Alive,1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-07-09,,2020-07-11T06:02:51.332+0300
African Pied Wagtail,Motacilla aguimp,685,2020-07-11,06:02,Heard,-3.394154,39.937819,,1,false,Alive,0,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-07-09,,2020-07-11T06:02:30.287+0300
Ring-necked Dove,Streptopelia capicola,316,2020-07-11,06:02,Heard,-3.394206,39.937792,,1,false,Alive,0,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-07-09,,2020-07-11T06:02:06.275+0300
Amethyst Sunbird,Chalcomitra amethystina,772,2020-07-11,06:01,Heard,-3.394229,39.93779,,1,false,Alive,0,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-07-09,,2020-07-11T06:01:47.499+0300
Red-capped Robin Chat,Cossypha natalensis,579,2020-07-11,06:01,Seen,-3.394316,39.937792,,1,false,Alive,0,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-07-09,,2020-07-11T06:01:15.197+0300
