Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Mangrove Kingfisher,Halcyon senegaloides,400,2021-05-22,05:47,Heard,-3.333027,39.99976,Mk was calling before 6am,1,false,Alive,,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-22T05:47:44.440+0300
Unidentified,Unidentified,0,2021-05-22,05:47,Seen,-3.333027,39.99976,,1,false,Alive,,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-22T05:47:31.565+0300
Red-fronted Tinkerbird,Pogoniulus pusillus,436,2021-05-21,08:35,Heard,-3.323348,39.960501,,1,false,Alive,,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-21T08:35:26.146+0300
Lilac-breasted Roller,Coracias caudatus,413,2021-05-20,07:30,Seen,-3.333262,39.992918,,1,false,Alive,13,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T07:30:39.664+0300
Red-fronted Tinkerbird,Pogoniulus pusillus,436,2021-05-20,07:29,Heard,-3.333226,39.993044,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T07:29:24.676+0300
Yellow-fronted Canary,Crithagra mozambica,859,2021-05-20,07:28,Heard,-3.333247,39.993232,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T07:28:37.402+0300
Black-crowned Tchagra,Tchagra senegalus,715,2021-05-20,07:26,Heard,-3.333118,39.993773,,1,false,Alive,14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T07:26:34.586+0300
Grey-headed Kingfisher,Halcyon leucocephala,401,2021-05-20,07:18,Seen,-3.332824,39.996117,,1,false,Alive,7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T07:18:53.784+0300
Olive Sunbird,Cyanomitra olivacea,766,2021-05-20,07:17,Heard,-3.332788,39.996462,,1,false,Alive,6,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T07:17:12.297+0300
Amethyst Sunbird,Chalcomitra amethystina,772,2021-05-20,07:14,Seen,-3.332719,39.997116,,1,false,Alive,6,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-20,,2021-05-20T07:14:59.121+0300
