Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Unidentified,Unidentified,0,2020-10-29,10:00,Seen,-3.373308,39.934055,,1,false,Alive,-3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-10-28,,2020-10-29T10:00:17.241+0300
Black-bellied Starling,Notopholia corusca,740,2020-10-29,09:56,Seen,-3.374558,39.933512,,1,false,Alive,-6,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-10-28,,2020-10-29T09:56:17.522+0300
Amethyst Sunbird,Chalcomitra amethystina,772,2020-10-29,09:55,Seen,-3.374667,39.933502,,1,false,Alive,-3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-10-28,,2020-10-29T09:55:27.023+0300
House Crow,Corvus splendens,989,2020-10-29,09:54,Seen,-3.374817,39.93356,,1,false,Alive,-3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-10-28,,2020-10-29T09:54:57.173+0300
Lilac-breasted Roller,Coracias caudatus,413,2020-10-29,09:53,Seen,-3.375037,39.9336,,1,false,Alive,-4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-10-28,,2020-10-29T09:53:52.501+0300
Grassland Pipit,Anthus cinnamomeus,692,2020-10-29,09:53,Seen,-3.37507,39.933592,,1,false,Alive,-5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-10-28,,2020-10-29T09:53:36.568+0300
Pied Crow,Corvus albus,522,2020-10-29,09:48,Seen,-3.376152,39.933792,,1,false,Alive,-5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-10-28,,2020-10-29T09:48:48.330+0300
Winding Cisticola (Coastal),Cisticola galactotes haematocephalus,3132,2020-10-29,09:47,Heard,-3.376018,39.933678,,1,false,Alive,-5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-10-28,,2020-10-29T09:47:30.464+0300
Village Indigobird,Vidua chalybeata,851,2020-10-29,09:47,Seen,-3.376007,39.933678,,1,false,Alive,-5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-10-28,,2020-10-29T09:47:19.308+0300
Great Sparrowhawk,Accipiter melanoleucus,159,2020-10-29,09:43,Seen,-3.376067,39.933937,,1,false,Alive,-2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-10-28,,2020-10-29T09:43:52.247+0300
Little Swift,Apus affinis,385,2020-10-29,09:43,Seen,-3.376083,39.934062,,1,false,Alive,-2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-10-28,,2020-10-29T09:43:26.428+0300
Yellow-fronted Canary,Crithagra mozambica,859,2020-10-29,09:43,Seen,-3.376125,39.93416,,1,false,Alive,-5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-10-28,,2020-10-29T09:43:05.014+0300
Tawny-flanked Prinia,Prinia subflava,649,2020-10-29,09:41,Heard,-3.37615,39.934387,,1,false,Alive,-6,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-10-28,,2020-10-29T09:41:44.760+0300
Black-crowned Tchagra,Tchagra senegalus,715,2020-10-29,09:39,Heard,-3.376032,39.934972,,1,false,Alive,-2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-10-28,,2020-10-29T09:39:18.471+0300
Great White Egret,Ardea alba,58,2020-10-29,09:34,Seen,-3.374905,39.934863,,1,false,Alive,-10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-10-28,,2020-10-29T09:34:07.540+0300
