Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Unidentified,Unidentified,0,2021-03-25,12:00,Seen,-3.373052,39.962705,,1,false,Alive,-1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T12:00:46.914+0300
African Spoonbill,African Spoonbill,85,2021-03-25,11:59,Seen,-3.373023,39.962723,,1,false,Alive,-1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T11:59:21.290+0300
African Fish Eagle,African Fish Eagle,149,2021-03-25,11:56,Seen,-3.372548,39.963223,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T11:56:51.645+0300
Purple-banded Sunbird,Purple-banded Sunbird,756,2021-03-25,11:56,Heard,-3.372497,39.963287,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T11:56:42.065+0300
Sacred Ibis,African Sacred Ibis,81,2021-03-25,11:46,Seen,-3.36968,39.964685,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T11:46:33.407+0300
Grey Heron,Grey Heron,54,2021-03-25,11:46,Seen,-3.369683,39.964685,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T11:46:20.050+0300
Great White Egret,Great Egret,58,2021-03-25,11:42,Seen,-3.368798,39.96508,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T11:42:41.499+0300
European Bee-eater,European Bee-eater,404,2021-03-25,11:41,Seen,-3.368683,39.965207,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T11:41:34.475+0300
Willow Warbler,Willow Warbler,599,2021-03-25,11:41,Seen,-3.36869,39.965213,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T11:41:00.635+0300
Black Kite (resident),Yellow-billed Kite,129,2021-03-25,11:35,Seen,-3.367367,39.965765,,1,false,Alive,6,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T11:35:41.995+0300
Striated Heron,Striated Heron,63,2021-03-25,11:28,Seen,-3.366408,39.96575,,1,false,Alive,12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T11:28:34.092+0300
Woolly-necked Stork,Woolly-necked Stork,77,2021-03-25,11:26,Seen,-3.36633,39.965995,,1,false,Alive,13,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T11:26:53.952+0300
Barn Swallow,Barn Swallow,493,2021-03-25,11:24,Seen,-3.365948,39.966287,,1,false,Alive,17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T11:24:03.686+0300
Olive Sunbird,Olive Sunbird,766,2021-03-25,11:04,Heard,-3.362865,39.964482,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T11:04:28.600+0300
Purple-banded Sunbird,Purple-banded Sunbird,756,2021-03-25,11:02,Heard,-3.362445,39.964295,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T11:02:55.302+0300
Black-headed Oriole,Black-headed Oriole,521,2021-03-25,11:00,Heard,-3.361962,39.96405,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T11:00:27.991+0300
Unidentified,Unidentified,0,2021-03-25,11:00,Seen,-3.36194,39.964042,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T11:00:15.299+0300
Unidentified,Unidentified,0,2021-03-25,11:00,Seen,-3.361943,39.964042,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T11:00:09.794+0300
Black-crowned Tchagra,Black-crowned Tchagra,715,2021-03-25,10:52,Seen,-3.363358,39.963075,,1,false,Alive,1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T10:52:32.920+0300
Golden Palm Weaver,Golden Palm Weaver,3898,2021-03-25,10:48,Heard,-3.365017,39.96227,,1,false,Alive,0,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T10:48:24.703+0300
White-throated Bee-eater,White-throated Bee-eater,1034,2021-03-25,10:43,Seen,-3.367128,39.961543,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T10:43:59.343+0300
Spotted Flycatcher,Spotted Flycatcher,654,2021-03-25,10:41,Seen,-3.367875,39.961172,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T10:41:41.289+0300
African Bare-eyed Thrush,Bare-eyed Thrush,2750,2021-03-25,10:37,Seen,-3.368458,39.960008,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T10:37:19.209+0300
Northern Carmine Bee-eater,Northern Carmine Bee-eater,1576,2021-03-25,10:32,Seen,-3.36877,39.959397,,1,false,Alive,1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T10:32:51.786+0300
Red-cheeked Cordon-bleu,Red-cheeked Cordon-bleu,3974,2021-03-25,10:32,Seen,-3.36877,39.959403,,1,false,Alive,1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T10:32:30.749+0300
Pale Flycatcher,Pale Flycatcher,662,2021-03-25,10:27,Seen,-3.368992,39.958533,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T10:27:56.461+0300
Common Drongo,Fork-tailed Drongo,517,2021-03-25,10:26,Seen,-3.369008,39.958327,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T10:26:45.233+0300
African Fish Eagle,African Fish Eagle,149,2021-03-25,10:25,Heard,-3.369065,39.958103,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T10:25:28.371+0300
Striped Kingfisher,Striped Kingfisher,403,2021-03-25,10:23,Seen,-3.36903,39.957263,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T10:23:27.550+0300
Zanzibar Greenbul,Sombre Greenbul,551,2021-03-25,10:20,Heard,-3.368983,39.955948,,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-25,,2021-03-25T10:20:06.500+0300
